IHMCL Class Id,IHMCL Class Name,IHMCL Class Description,Vehicle Weight,Status
1,Two wheelers,,93.99,1
2,Three - Wheeler Passenger,,93.99,1
3,Three - wheeler Freight,,93.99,1
4,Car/Jeep/Van,,93.99,1
5,LCV 2-axle,Light Commercial vehicle,93.99,1
6,LCV 3-axle,Light Commercial vehicle,93.99,1
7,Bus 2-axle,,93.99,1
8,Bus 3-axle,,93.99,1
9,Mini-Bus,,93.99,1
10,Truck 2-axle,,93.99,1
11,Truck 3-axle,,93.99,1
12,Truck 4-axle,,93.99,1
13,Truck 5-axle,,93.99,1
14,Truck 6-axle,,93.99,1
15,Truck Multi axle,7 and above,93.99,1
16,Earth Moving Machinery,,93.99,1
17,Heavy Construction machinery,,93.99,1
18,Tractor,,93.99,1
19,Tractor with trailer,,93.99,1
20,Tata Ace and Similar mini Light Commercial Vehicle,,93.99,1
